Country Name,Country Code,Series,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Nepal,NPL,"Adult literacy rate, population 15+ years, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.GPIA,..,0.55634,..,..,..,..,..,..,..,..,..,0.68106,..,..,..,..,..,..,0.75994,..,..
Nepal,NPL,"Adult literacy rate, population 15+ years, adjusted location parity index (LPIA)",UIS.LR.AG15T99.LPIA,..,0.65541,..,..,..,..,..,..,..,..,..,0.69396,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,48.60897,..,..,..,..,..,..,..,..,..,59.62725,..,..,..,..,..,..,67.90843,..,..
Nepal,NPL,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,34.88676,..,..,..,..,..,..,..,..,..,48.83759,..,..,..,..,..,..,59.72443,..,..
Nepal,NPL,"Adult literacy rate, population 15+ years, female, adjusted location parity index (LPIA)",UIS.LR.AG15T99.F.LPIA,..,0.55577,..,..,..,..,..,..,..,..,..,0.62517,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,62.70801,..,..,..,..,..,..,..,..,..,71.70838,..,..,..,..,..,..,78.59134,..,..
Nepal,NPL,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,0.73884,..,..,..,..,..,..,..,..,..,0.76907,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,0.52551,..,..,..,..,..,..,..,..,..,0.65272,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Adult literacy rate, population 15+ years, rural, both sexes (%)",UIS.LR.AG15T99.RUR,..,44.8966,..,..,..,..,..,..,..,..,..,55.04019,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Adult literacy rate, population 15+ years, rural, female (%)",UIS.LR.AG15T99.RUR.F,..,31.14423,..,..,..,..,..,..,..,..,..,44.13433,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Adult literacy rate, population 15+ years, rural, male (%)",UIS.LR.AG15T99.RUR.M,..,59.26424,..,..,..,..,..,..,..,..,..,67.61594,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Adult literacy rate, population 15+ years, urban, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.URB.GPIA,..,0.69862,..,..,..,..,..,..,..,..,..,0.80297,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Adult literacy rate, population 15+ years, urban, both sexes (%)",UIS.LR.AG15T99.URB,..,68.50152,..,..,..,..,..,..,..,..,..,79.31284,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Adult literacy rate, population 15+ years, urban, female (%)",UIS.LR.AG15T99.URB.F,..,56.03797,..,..,..,..,..,..,..,..,..,70.59628,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Adult literacy rate, population 15+ years, urban, male (%)",UIS.LR.AG15T99.URB.M,..,80.21271,..,..,..,..,..,..,..,..,..,87.91872,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Elderly literacy rate, population 65+ years, adjusted gender parity index (GPIA)",UIS.LR.AG65T99.GPIA,..,0.15164,..,..,..,..,..,..,..,..,..,0.16909,..,..,..,..,..,..,0.20848,..,..
Nepal,NPL,"Elderly literacy rate, population 65+ years, adjusted location parity index (LPIA)",UIS.LR.AG65T99.LPIA,..,0.49732,..,..,..,..,..,..,..,..,..,0.46536,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Elderly literacy rate, population 65+ years, both sexes (%)",UIS.LR.AG65,..,15.97179,..,..,..,..,..,..,..,..,..,20.78409,..,..,..,..,..,..,23.62916,..,..
Nepal,NPL,"Elderly literacy rate, population 65+ years, female (%)",UIS.LR.AG65.F,..,4.16912,..,..,..,..,..,..,..,..,..,6.02554,..,..,..,..,..,..,8.65249,..,..
Nepal,NPL,"Elderly literacy rate, population 65+ years, female, adjusted location parity index (LPIA)",UIS.LR.AG65T99.F.LPIA,..,0.27859,..,..,..,..,..,..,..,..,..,0.21622,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Elderly literacy rate, population 65+ years, male (%)",UIS.LR.AG65.M,..,27.49348,..,..,..,..,..,..,..,..,..,35.63504,..,..,..,..,..,..,41.50309,..,..
Nepal,NPL,"Elderly literacy rate, population 65+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG65T99.M.LPIA,..,0.52189,..,..,..,..,..,..,..,..,..,0.5184,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Elderly literacy rate, population 65+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG65T99.RUR.GPIA,..,0.12476,..,..,..,..,..,..,..,..,..,0.12277,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Elderly literacy rate, population 65+ years, rural, both sexes (%)",UIS.LR.AG65T99.RUR,..,14.14763,..,..,..,..,..,..,..,..,..,17.80889,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Elderly literacy rate, population 65+ years, rural, female (%)",UIS.LR.AG65T99.RUR.F,..,3.08945,..,..,..,..,..,..,..,..,..,3.87772,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Elderly literacy rate, population 65+ years, rural, male (%)",UIS.LR.AG65T99.RUR.M,..,24.76328,..,..,..,..,..,..,..,..,..,31.58622,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Elderly literacy rate, population 65+ years, urban, adjusted gender parity index (GPIA)",UIS.LR.AG65T99.URB.GPIA,..,0.23371,..,..,..,..,..,..,..,..,..,0.29434,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Elderly literacy rate, population 65+ years, urban, both sexes (%)",UIS.LR.AG65T99.URB,..,28.44757,..,..,..,..,..,..,..,..,..,38.26891,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Elderly literacy rate, population 65+ years, urban, female (%)",UIS.LR.AG65T99.URB.F,..,11.08958,..,..,..,..,..,..,..,..,..,17.93376,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Elderly literacy rate, population 65+ years, urban, male (%)",UIS.LR.AG65T99.URB.M,..,47.44934,..,..,..,..,..,..,..,..,..,60.92973,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Literacy rate, population 25-64 years, adjusted gender parity index (GPIA)",UIS.LR.AG25T64.GPIA,..,0.42748,..,..,..,..,..,..,..,..,..,0.5691,..,..,..,..,..,..,0.68971,..,..
Nepal,NPL,"Literacy rate, population 25-64 years, adjusted location parity index (LPIA)",UIS.LR.AG25T64.LPIA,..,0.57982,..,..,..,..,..,..,..,..,..,0.61373,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,..,40.93779,..,..,..,..,..,..,..,..,..,52.1677,..,..,..,..,..,..,60.71325,..,..
Nepal,NPL,"Literacy rate, population 25-64 years, female (%)",UIS.LR.AG25T64.F,..,24.58536,..,..,..,..,..,..,..,..,..,38.49667,..,..,..,..,..,..,51.3455,..,..
Nepal,NPL,"Literacy rate, population 25-64 years, female, adjusted location parity index (LPIA)",UIS.LR.AG25T64.F.LPIA,..,0.42863,..,..,..,..,..,..,..,..,..,0.50045,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Literacy rate, population 25-64 years, male (%)",UIS.LR.AG25T64.M,..,57.5118,..,..,..,..,..,..,..,..,..,67.64494,..,..,..,..,..,..,74.44488,..,..
Nepal,NPL,"Literacy rate, population 25-64 years, male, adjusted location parity index (LPIA)",UIS.LR.AG25T64.M.LPIA,..,0.68837,..,..,..,..,..,..,..,..,..,0.72647,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Literacy rate, population 25-64 years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG25T64.RUR.GPIA,..,0.38309,..,..,..,..,..,..,..,..,..,0.51979,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Literacy rate, population 25-64 years, rural, both sexes (%)",UIS.LR.AG25T64.RUR,..,36.7742,..,..,..,..,..,..,..,..,..,46.5752,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Literacy rate, population 25-64 years, rural, female (%)",UIS.LR.AG25T64.RUR.F,..,20.51247,..,..,..,..,..,..,..,..,..,32.65464,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Literacy rate, population 25-64 years, rural, male (%)",UIS.LR.AG25T64.RUR.M,..,53.54541,..,..,..,..,..,..,..,..,..,62.82266,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Literacy rate, population 25-64 years, urban, adjusted gender parity index (GPIA)",UIS.LR.AG25T64.URB.GPIA,..,0.61523,..,..,..,..,..,..,..,..,..,0.75454,..,..,..,..,..,..,..,..,..
