Country,Year,Fueltype,Sector,CO2_Mt
Algeria,2010,Biomass,"Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2011,Biomass,"Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2012,Biomass,"Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2013,Biomass,"Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2014,Biomass,"Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2015,Biomass,"Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2016,Biomass,"Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2017,Biomass,"Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2018,Biomass,"Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2019,Biomass,"Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2010,Coal,"Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2011,Coal,"Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2012,Coal,"Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2013,Coal,"Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2014,Coal,"Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2015,Coal,"Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2016,Coal,"Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2017,Coal,"Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2018,Coal,"Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2019,Coal,"Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2010,"Crude, NGL, Ref Feeds.","Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2011,"Crude, NGL, Ref Feeds.","Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2012,"Crude, NGL, Ref Feeds.","Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2013,"Crude, NGL, Ref Feeds.","Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2014,"Crude, NGL, Ref Feeds.","Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2015,"Crude, NGL, Ref Feeds.","Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2016,"Crude, NGL, Ref Feeds.","Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2017,"Crude, NGL, Ref Feeds.","Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2018,"Crude, NGL, Ref Feeds.","Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2019,"Crude, NGL, Ref Feeds.","Agriculture, forestry, hunting, fishing and husbandry",0
Algeria,2010,Natural gas,"Agriculture, forestry, hunting, fishing and husbandry",0.277432866
Algeria,2011,Natural gas,"Agriculture, forestry, hunting, fishing and husbandry",0.635929129
Algeria,2012,Natural gas,"Agriculture, forestry, hunting, fishing and husbandry",0.71879846
Algeria,2013,Natural gas,"Agriculture, forestry, hunting, fishing and husbandry",0.771121424
Algeria,2014,Natural gas,"Agriculture, forestry, hunting, fishing and husbandry",0.795412243
Algeria,2015,Natural gas,"Agriculture, forestry, hunting, fishing and husbandry",0.847880929
Algeria,2016,Natural gas,"Agriculture, forestry, hunting, fishing and husbandry",0.892925957
Algeria,2017,Natural gas,"Agriculture, forestry, hunting, fishing and husbandry",0.952470212
Algeria,2018,Natural gas,"Agriculture, forestry, hunting, fishing and husbandry",0.910661291
Algeria,2019,Natural gas,"Agriculture, forestry, hunting, fishing and husbandry",0.952225461
Algeria,2010,Oil products,"Agriculture, forestry, hunting, fishing and husbandry",4.12E-05
